"industry","country","gender","race","age","education","prof_exp","field_exp","usd_total_comp","age_mid","age_scale","prof_exp_mid","field_exp_mid","edu_num","edu_scale","wht_notwht","wom_notwom","usa","ind_dom"
"Social Work","uk","Woman","White","35-44","Master's degree","11-20","11-20",72.28,40,"Middle",15,15,4,"High","White","Woman","Not USA","Woman"
"Education","usa","Woman","White","25-34","College degree","10-","10-",52,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","canada","Woman","White","25-34","Master's degree","10-","10-",63.2,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Man","White","55+","College degree","31+","21-30",129,60,"Old",35,25,3,"Medium","White","Not Woman","USA","Woman"
"Education","canada","Woman","Asian ","25-34","College degree","10-","10-",60,30,"Young",5,5,3,"Medium","Not White","Woman","Not USA","Woman"
"Science","usa","Woman","White","24-","College degree","10-","10-",52,20,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Other","White","25-34","Master's degree","10-","10-",70,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",92.4,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","35-44","Master's degree","21-30","11-20",53,40,"Middle",25,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",36,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",38,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Science","usa","Man","White","25-34","Master's degree","10-","10-",87,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Science","usa","Woman","White","35-44","Master's degree","11-20","11-20",125.6,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Insurance","uk","Woman","White","25-34","Master's degree","10-","10-",65.33,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Some college","10-","10-",45,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Other","35-44","College degree","11-20","10-",88,40,"Middle",15,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",71,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","45-54","PhD","11-20","11-20",71,50,"Old",15,15,5,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",75,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","35-44","Master's degree","21-30","11-20",80,40,"Middle",25,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","10-",125,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","11-20","11-20",65,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Social Work","uk","Woman","White","45-54","College degree","21-30","21-30",50.04,50,"Old",25,25,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",55,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","11-20","10-",91,30,"Young",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","10-","10-",118,40,"Middle",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","canada","Man","White","35-44","High School","11-20","11-20",48,40,"Middle",15,15,1,"Low","White","Not Woman","Not USA","Not Woman"
"Education","usa","Woman","White","35-44","Master's degree","11-20","10-",65,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",93.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Sales","usa","Woman","White","25-34","Some college","10-","10-",39.52,30,"Young",5,5,2,"Low","White","Woman","USA","Not Woman"
"Business or Consulting","canada","Man","White","45-54","Master's degree","21-30","21-30",92,50,"Old",25,25,4,"High","White","Not Woman","Not USA","Woman"
"Utilities & Telecommunications","usa","Woman","White","25-34","College degree","10-","10-",76,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","55+","Master's degree","31+","11-20",240,60,"Old",35,15,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Master's degree","10-","10-",90,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","uk","Man","White","25-34","Some college","10-","10-",26.827,30,"Young",5,5,2,"Low","White","Not Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","55+","Master's degree","31+","11-20",70,60,"Old",35,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","45-54","College degree","21-30","21-30",98.166,50,"Old",25,25,3,"Medium","White","Not Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",63.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","55+","Master's degree","21-30","10-",58,60,"Old",25,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",49.7,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","55+","Some college","31+","31+",95,60,"Old",35,35,2,"Low","White","Not Woman","USA","Not Woman"
"Computing or Tech","canada","Woman","White","35-44","College degree","10-","10-",38.4,40,"Middle",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Education","usa","Woman","Asian ","25-34","College degree","10-","10-",39.94,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Man","White","25-34","College degree","10-","10-",53,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Education","usa","Woman","White","45-54","Some college","31+","21-30",47.255,50,"Old",35,25,2,"Low","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Man","White","35-44","College degree","11-20","11-20",206,40,"Middle",15,15,3,"Medium","White","Not Woman","USA","Woman"
"Sales","usa","Woman","Hispanic","45-54","College degree","21-30","11-20",34.361,50,"Old",25,15,3,"Medium","Not White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","45-54","College degree","21-30","21-30",170,50,"Old",25,25,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",75,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","35-44","College degree","10-","10-",20,40,"Middle",5,5,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Asian ","25-34","Master's degree","10-","10-",123.303,30,"Young",5,5,4,"High","Not White","Woman","USA","Woman"
"Business or Consulting","canada","Woman","Asian ","35-44","College degree","11-20","10-",62.4,40,"Middle",15,5,3,"Medium","Not White","Woman","Not USA","Woman"
"Education","usa","Man","White","45-54","PhD","21-30","11-20",105,50,"Old",25,15,5,"High","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","Master's degree","21-30","11-20",42,50,"Old",25,15,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Master's degree","10-","10-",105,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","uk","Man","White","25-34","High School","10-","10-",69.5,30,"Young",5,5,1,"Low","White","Not Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","10-",121.5,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","uk","Woman","White","45-54","Master's degree","21-30","21-30",98.69,50,"Old",25,25,4,"High","White","Woman","Not USA","Woman"
"Business or Consulting","netherlands","Woman","Hispanic","35-44","Master's degree","11-20","11-20",74.34,40,"Middle",15,15,4,"High","Not White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","11-20","11-20",75,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","PhD","10-","10-",160,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","canada","Woman","White","25-34","College degree","10-","10-",84,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",50,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","45-54","College degree","21-30","21-30",85,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",42,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","21-30","10-",54.1,40,"Middle",25,5,4,"High","White","Woman","USA","Not Woman"
"Education","canada","Woman","White","35-44","PhD","10-","10-",73.6,40,"Middle",5,5,5,"High","White","Woman","Not USA","Woman"
"Social Work","uk","Woman","White","45-54","Master's degree","21-30","11-20",70.7093,50,"Old",25,15,4,"High","White","Woman","Not USA","Woman"
"Health care","usa","Woman","Other","55+","College degree","31+","31+",60.5,60,"Old",35,35,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","55+","College degree","31+","21-30",101.5,60,"Old",35,25,3,"Medium","White","Woman","USA","Not Woman"
"Science","usa","Woman","White","25-34","College degree","10-","10-",37.033,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","25-34","College degree","11-20","11-20",85,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",62,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","35-44","College degree","11-20","11-20",130,40,"Middle",15,15,3,"Medium","White","Not Woman","USA","Not Woman"
"Education","usa","Woman","White","55+","Master's degree","21-30","21-30",55,60,"Old",25,25,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",59.015,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",74,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","Master's degree","21-30","10-",53,50,"Old",25,5,4,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","Master's degree","10-","10-",63,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","21-30","21-30",100,40,"Middle",25,25,3,"Medium","White","Woman","USA","Not Woman"
"Libraries and Museums","australia","Man","White","35-44","Master's degree","11-20","10-",62.9,40,"Middle",15,5,4,"High","White","Not Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Some college","11-20","11-20",38,40,"Middle",15,15,2,"Low","White","Woman","USA","Not Woman"
"Sales","usa","Other","White","24-","College degree","10-","10-",33.78,20,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","Some college","11-20","10-",58.5,40,"Middle",15,5,2,"Low","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",85,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","35-44","College degree","11-20","11-20",62,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Law","usa","Other","White","25-34","Master's degree","10-","10-",74,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",64,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","uk","Woman","White","25-34","College degree","11-20","10-",76.45,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Social Work","spain","Woman","White","25-34","College degree","10-","10-",21.24,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",92,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","uk","Man","White","24-","Master's degree","10-","10-",26.41,20,"Young",5,5,4,"High","White","Not Woman","Not USA","Woman"
"Science","usa","Man","White","35-44","Master's degree","11-20","11-20",42,40,"Middle",15,15,4,"High","White","Not Woman","USA","Woman"
"Biotechnology","usa","Man","White","55+","College degree","21-30","10-",144,60,"Old",25,5,3,"Medium","White","Not Woman","USA","Woman"
"Insurance","usa","Woman","White","45-54","High School","31+","31+",73,50,"Old",35,35,1,"Low","White","Woman","USA","Woman"
"Computing or Tech","uk","Woman","White","35-44","College degree","11-20","11-20",75.06,40,"Middle",15,15,3,"Medium","White","Woman","Not USA","Not Woman"
"Health care","usa","Woman","White","45-54","Master's degree","21-30","11-20",100,50,"Old",25,15,4,"High","White","Woman","USA","Woman"
"Media & Digital","uk","Woman","White","25-34","College degree","11-20","10-",37.53,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","24-","Master's degree","10-","10-",63.129,20,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","45-54","PhD","11-20","11-20",135,50,"Old",15,15,5,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Hispanic","25-34","College degree","11-20","10-",130,30,"Young",15,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Libraries and Museums","usa","Woman","Hispanic","25-34","Master's degree","10-","10-",26,30,"Young",5,5,4,"High","Not White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Master's degree","10-","10-",60,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","10-",37,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",88,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",65,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",92,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Health care","finland","Woman","White","25-34","College degree","10-","10-",41.3,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Engineering or Manufacturing","usa","Man","White","25-34","College degree","10-","10-",69,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",35,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","White","25-34","College degree","10-","10-",75,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Man","Hispanic","25-34","College degree","10-","10-",122.5,30,"Young",5,5,3,"Medium","Not White","Not Woman","USA","Woman"
"Business or Consulting","usa","Other","Hispanic","25-34","Master's degree","10-","10-",119,30,"Young",5,5,4,"High","Not White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","11-20",70,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","45-54","Some college","21-30","11-20",145,50,"Old",25,15,2,"Low","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",62,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",400,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",61.2,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","uk","Woman","White","25-34","College degree","10-","10-",132.05,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",66,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","Black","35-44","College degree","10-","10-",70,40,"Middle",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Education","usa","Woman","White","25-34","College degree","10-","10-",52,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","45-54","Some college","21-30","11-20",80.5,50,"Old",25,15,2,"Low","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",57,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",83.2,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","Black","24-","College degree","10-","10-",77.5,20,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Retail","usa","Woman","White","35-44","College degree","11-20","10-",31.2,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Health care","uk","Woman","White","25-34","Master's degree","10-","10-",44.48,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","Other","35-44","College degree","11-20","11-20",225,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Education","usa","Man","White","25-34","College degree","10-","10-",57.5,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Law","usa","Woman","Asian ","45-54","PhD","11-20","11-20",220,50,"Old",15,15,5,"High","Not White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","College degree","10-","10-",100,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",80,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","Hispanic","35-44","High School","11-20","10-",65,40,"Middle",15,5,1,"Low","Not White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","Master's degree","10-","10-",52.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","france","Woman","White","25-34","Master's degree","10-","10-",42.48,30,"Young",5,5,4,"High","White","Woman","Not USA","Not Woman"
"Social Work","usa","Woman","White","25-34","College degree","10-","10-",94,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",57,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","10-","10-",91,40,"Middle",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",90,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","10-","10-",66.95,40,"Middle",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","Asian ","25-34","College degree","10-","10-",76,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Engineering or Manufacturing","uk","Woman","White","25-34","Master's degree","10-","10-",80.62,30,"Young",5,5,4,"High","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",75,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
